Start,End,Tag,Annotation,Username
19:25,19:54, Search Information," Guest ratings are also important, would like to see how many people have reviewed.",Dipa
19:54,20:03, Search Information, Distance is also important and clearly listed.,Dipa
20:41,21:45, Choose Hotel," For Jersey City Westin, knows that is close to Manhattan by ferry but suggests having an indication that it is actually quite close for someone who is unfamiliar.",Dipa
22:08,22:22, Choose Hotel," Sheraton Tribeca has 4/5 stars, close to city center, price, has all the information she's looking for",Dipa
22:49,23:49, Hotel Overview," Appears as if she has all the information, photos, reviews (likes breakdown), transportation, features, room options",Dipa
0:17,0:50, Booking Preference," Used tablet, phone, desktop depending on situation. Has Travel folder in phone with some hotel applications. Laptop #1, phone #2, tablet #3",bignoch
0:57,1:48, Hotel Information," Location, Features/Amenities, Price, Photos/Descriptions",bignoch
2:49,4:15, Initial Impressions," - notifications, + location. Tap menu bar ""Book"", ""Stays"", ""Explore"" (don't know what SPG Categories mean), well done app, likes pictures",bignoch
4:20,4:43, Initial Impressions," ""Stays"" doesn't seem like the right word",bignoch
4:48,5:40, Booking Process," ""Book"", calendar is ""really weird"" needs better demarcations for the months.",bignoch
6:09,7:13, Search Information," Cost, Location (where is distance from?), sorting, filtering. What are SPG categories?",bignoch
7:24,8:26, Search Information," Location is most important upsetting to not see it. ""Map"" not obvious, would like to see price when select on map or even on ""Hotel Overview""",bignoch
8:33,10:00, Choose Hotel," Select Sheraton Tribeca from map, then to list and filter 'Sheraton' to see price. Would want to see basic features (like WiFi)",bignoch
10:12,12:42, Hotel Overview," Location, Photos (wants to see rooms), Reviews, Features (too many), Rooms",bignoch
12:51,, Choose Room," ""Rates"", no issues, not sure what ""Sweet Sleeper"" is 13:35",bignoch
13:48,14:06, Booking Reflection," Not obvious that ""Rates"" is where to book a room.",bignoch
14:23,14:45, Enter information," Basic information, no issues",bignoch
14:54,15:05, Breakdowns, Seems standard and basic,bignoch
15:10,15:57, Overall," OK, look on ""Rates"" page is not enticing, all text is 'blah', suggest icons. Same for 'Features' page",bignoch
16:04,16:52, Hesitations," No hesitations, seems great for on the go. If at home would use laptop, as experience is better and doesn't feel ""wordy""",bignoch
0:28,0:58, Booking Preference," Depends on where he is, if on the road iPhone, or planning ahead of time use desktop",mustafa.hashemi
1:11,2:04, Hotel Information," Customer Reviews, Location (easy accessible to tourist areas), would like 4 or 5 star hotel.",mustafa.hashemi
2:52,3:52, Initial Impressions," + notifications, + locations; likes it, different from other apps. Read menu items, open ""Book"", ""Stays"", ""Explore"" , and ""More"".",mustafa.hashemi
3:53,4:08, Initial Impressions," Scroll menu picker, like that and the menu at the bottom.",mustafa.hashemi
4:27,5:25, Booking Process," Open ""Book"", enter dates, select 2 adults, enter destination, and tap ""Find""",mustafa.hashemi
5:27,6:25, Search Information," Search results, can sort by price and distance, notices name, location, ratings, and price. Also notices ""Filter""",mustafa.hashemi
6:30,7:12, Search Information, Distance and Reviews. Amenities are not a big deal since hotels are mostly similar.,mustafa.hashemi
7:23,8:03, Choose Hotel," Would like to sort by guest rating, try ""Filter"" and don't see anything. Don't understand ""SPG Category""",mustafa.hashemi
8:04,8:57, Choose Hotel," Sort by price, look at top few results and select The Chatwal",mustafa.hashemi
9:32,10:44, Hotel Overview," Explore ""Photos"", ""Guest Ratings"", ""Transportation"", ""Features"" , ""Locale"", ""Cuisine"", ""Location"" likes the map.",mustafa.hashemi
10:50,11:09, Hotel Overview, No information missing.,mustafa.hashemi
11:17,12:28, Choose Room," Select ""Rates"" in top right, tap ""View by Room"" and ""View by Rate"", then select Junior Suite.",mustafa.hashemi
12:32,12:38, Choose Room," All the information that is needed, and shows differences between rooms.",mustafa.hashemi
12:50,13:18, Booking Reflection," Nothing confusing, one part that was lacking was sorting by reviews.",mustafa.hashemi
13:33,13:53, Enter information, Nothing confusing or surprising.,mustafa.hashemi
14:00,14:24, Breakdowns," Nothing during the process, not being able to sort was ""cumbersome"" but generally nothing else.",mustafa.hashemi
14:28,14:55, Overall," Liked it, it was easy to select and filter. Liked seeing map and locale.",mustafa.hashemi
15:02,15:34, Hesitations," Don't see a reason why I wouldn't, if money was not an issue or were not a preferred customer.",mustafa.hashemi
0:16,0:35, Booking Preference," Normally phone or tablet if watching TV. Go to laptop to purchase, easier to type in credit card information.",webberdakota
0:43,1:07, Hotel Information," Price, Amenities (breakfast, free parking), Location, Reviews (cross reference Trip Advisor, Expedia, Yelp).",webberdakota
1:46,2:45, Initial Impressions," Deals, Booking, Account, Social Status, Benefits, Destinations, open ""New Offers"" and open ""Flash Sales"" deal.",webberdakota
2:44,3:44, Initial Impressions," Open ""Book"", ""Stays"", ""Explore"", ""More"", looks good and likes images and offers are 'interesting'. Don't like scrolling on menu picker if doesn't see it, suggest 'one scroll and that's it'",webberdakota
3:46,3:58, Initial Impressions," Don't understand ""Stays"", not quite sure what that means.",webberdakota
3:59,4:02, Initial Impressions," Bottom is fine, there's enough.",webberdakota
4:02,4:35, Booking Process," Open ""Book, enter destination, calendar is hard to read, one room and tap ""Find""",webberdakota
4:36,5:25, Search Information," Notice distance, price/starpoints. Could sort by price. Would like to know how many results. Doesn't tell too much about amenities. Review stars (based on what?)",webberdakota
5:25,5:40, Search Information," Notice ""Filter"" and amenities. Everything seems pretty easy. Guess ""city center"" is Times Square",webberdakota
5:41,6:02, Search Information," Price is most important, would like to see it on a map.",webberdakota
6:02,6:27, Search Information," No, would like to see free breakfast & parking and has no way to see that even with filters",webberdakota
6:28,6:57, Choose Hotel," Sort Low-High, look for hotels in New York. select Westin.",webberdakota
6:58,7:14, Hotel Overview," What is the guest rating based on? Negative reviews are at the top, 'I don't know if I would do that'",webberdakota
7:25,7:39, Choose Hotel," Look at the W, Reviews are also negative, guesses that you can't be very picky in NY",webberdakota
7:47,8:29, Choose Hotel," Aloft Harlem ratings are not bad, was expecting a map for ""Area"" but found ""Hotel Location"". Search page did not have amenities listed but had enough options.",webberdakota
8:32,9:11, Hotel Overview," Would be nice to have a small map so don't have to click on it to see it. Where are the reviews from? It's OK, tabs are overwhelming but it's comprehensive.",webberdakota
9:12,9:45, Choose Room," ""Rates"", view Prepaid and Flexible rates (don't know the difference).",webberdakota
9:55,10:09, Choose Room," Tapping ""Terms & Details"" brings up Info page, can't see directly and don't know what terms are.",webberdakota
10:19,10:42, Enter information," Pretty easy, nothing too bad.",webberdakota
10:48,11:02, Breakdowns," Wants to know cancellation policy before booking, doesn't know so she would stop.",webberdakota
11:05,11:20, Breakdowns," Why is a queen bed more expensive than a king bed, kind of weirdly laid out.",webberdakota
11:27,12:16, Overall," Overall there is a lot going on. Tell how many search results. Also, where are the ratings from, have a little map on ""overview page"". Would prefer scrolling over tapping. [but not too much scrolling] Try to condense information if possible. ",webberdakota
12:23,12:49, Hesitations," Don't like filling information out (lot of typing & very small), would rather do it on laptop. iPad is better.",webberdakota
